masked_id,Date,wf_page
1,07012016,About Wells Fargo/Still have questions?/Call Us
1,07012016,About Wells Fargo/Working With Us/Careers at Wells Fargo
1,07012016,About Wells Fargo/Get to Know Our Company/Vision and Values
1,07012016,About Wells Fargo/Still have questions?/Make an Appointment
1,07012016,About Wells Fargo/Get to Know Our Company/Investor Relations
1,07012016,Rewards and Benefits/Go Far™ Rewards/Explore Rewards
1,07012016,Rewards and Benefits/Use and Share Rewards/Use Rewards 
1,07012016,Rewards and Benefits/Go Far™ Rewards/Earn Rewards
1,07012016,Rewards and Benefits/Use and Share Rewards/Use Rewards 
1,07012016,Rewards and Benefits/Use and Share Rewards/Share Rewards
1,07022016,Wealth Services/Abbot Downing/
1,07022016,Wealth Services/Wealth Advice  and Guidance/Conversations Magazine
1,07022016,Wealth Services/Wealth Advice  and Guidance/Wealth Management Insights
1,07022016,Wealth Services/Wealth Solutions/Specialized Wealth Services
1,07022016,Wealth Services/Wealth Solutions/Trust Services
1,07022016,Wealth Services/Wells Fargo Advisors /
1,07022016,Wealth Services/Wells Fargo Advisors /
1,07022016,Wealth Services/Wells Fargo Advisors /
1,07022016,Wealth Services/Wealth Advice  and Guidance/Wealth Management Insights
1,07022016,Wealth Services/Wealth Management Services/
1,07022016,Online Banking Services/Online Bill Pay/
1,07022016,Online Banking Services/Online Statements/
1,07022016,Online Banking Services/Online Statements/
1,07022016,Online Banking Services/Online Bill Pay/
1,07022016,Online Banking Services/Online Banking/
1,07022016,Financial Education/You and Your Family/Education Finances
1,07022016,Financial Education/You and Your Family/Education Finances
1,07022016,Financial Education/You and Your Family/Education Finances
1,07022016,Financial Education/You and Your Family/Credit Management
1,07022016,Financial Education/You and Your Family/Credit Management
1,07032016,Investing and Retirement/Ways to Invest/Invest With Guidance 
1,07032016,Investing and Retirement/Ways to Invest/Invest Online
1,07032016,Investing and Retirement/Ways to Invest/Invest With Guidance 
1,07032016,Investing and Retirement/Ways to Invest/Invest in Mutual Funds
1,07032016,Investing and Retirement/Ways to Invest/Invest Online
1,07032016,Online Banking Services/Online Statements/
1,07032016,Online Banking Services/Mobile Banking/
1,07032016,Online Banking Services/Mobile Banking/
1,07032016,Online Banking Services/Transfers/
1,07032016,Online Banking Services/Online Bill Pay/
1,07032016,Wealth Services/Wealth Advice  and Guidance/Wealth Management Insights
1,07032016,Wealth Services/Wealth Advice  and Guidance/Conversations Magazine
1,07032016,Wealth Services/Wealth Advice  and Guidance/Conversations Magazine
1,07032016,Wealth Services/Wells Fargo Advisors /
1,07032016,Wealth Services/Wealth Solutions/Private Banking
1,07032016,Investing and Retirement/Ways to Invest/Invest With Guidance 
1,07032016,Investing and Retirement/Ways to Invest/Invest Online
1,07032016,Investing and Retirement/Ways to Invest/Compare Ways to Invest
1,07032016,Investing and Retirement/Ways to Invest/Invest Online
1,07032016,Investing and Retirement/Ways to Invest/Compare Ways to Invest
1,07042016,Financial Education/Your Future/Investing
1,07052016,Financial Education/You and Your Family/Credit Management
1,07052016,Financial Education/Your Property/Insurance and Protection
1,07062016,Insurance/Your Property/Auto Insurance
1,07062016,Insurance/Your Financial Goals/Planning for Retirement
1,07062016,Insurance/Your Property/Auto Insurance
1,07062016,Insurance/Your Financial Goals/Protect What Counts
1,07062016,Insurance/Your Property/Auto Insurance
1,07062016,Tax Center/Tax Center/
1,07062016,Tax Center/Fraud Information Center /
1,07062016,Tax Center/Fraud Information Center /
1,07062016,Tax Center/Tax Center/
1,07062016,Tax Center/Tax Center/
1,07072016,About Wells Fargo/How do I…/Find my routing number 
1,07122016,Mortgage Loans/Personal Lines and Loans/Student Loans
1,07122016,Mortgage Loans/Your Financial Goals /Going to College
1,07142016,About Wells Fargo/More resources/Small Business Sitemap
1,07152016,Wealth Services/Abbot Downing/
1,07182016,Insurance/You and Your Family/Umbrella Liability Insurance
1,07182016,Insurance/Your Financial Goals/Protect What Counts
1,07182016,Insurance/Your Property/Specialty Vehicle Insurance
1,07182016,Insurance/You and Your Family/Umbrella Liability Insurance
1,07182016,Insurance/You and Your Family/Insurance Overview
1,07182016,Insurance/You and Your Family/Umbrella Liability Insurance
1,07182016,Insurance/Your Financial Goals/Planning for Retirement
1,07182016,Insurance/Your Financial Goals/Protect What Counts
1,07182016,Insurance/Your Property/Auto Insurance
1,07182016,Insurance/Your Property/Specialty Vehicle Insurance
1,07182016,Your Financial Goals/Planning for Retirement/
1,07182016,Your Financial Goals/Income in Retirement/
1,07182016,Your Financial Goals/Planning for Retirement/
1,07182016,Your Financial Goals/Investing Basics/
1,07182016,Your Financial Goals/Investing Basics/
1,07182016,Tax Center/Tax Center/
1,07182016,Tax Center/Fraud Information Center /
1,07182016,Tax Center/Banking Made Easy/
1,07182016,Tax Center/Tax Center/
1,07182016,Tax Center/Tax Center/
1,07252016,About Wells Fargo/Working With Us/Become a Supplier
1,07252016,About Wells Fargo/Still have questions?/Find a Location
1,07272016,Online Banking Services/Mobile Banking/
1,07272016,Online Banking Services/Transfers/
1,07272016,Online Banking Services/Mobile Banking/
1,07272016,Tax Center/Tax Center/
1,07272016,Tax Center/Fraud Information Center /
1,07272016,Tax Center/Fraud Information Center /
1,07282016,Accounts and Services/Credit Cards/Account preference set or maintained
1,07282016,Accounts and Services/Credit Cards/Account or service maintained
1,07282016,Accounts and Services/Identity Theft Protection/Account or Service Closed
1,07282016,Mortgage Loans/Personal Lines and Loans/Personal Lines and Loans
1,07282016,Mortgage Loans/Home Loans and Lines/Home Equity Lines
1,07282016,Mortgage Loans/Home Loans and Lines/Home Equity Lines
1,07312016,Online Banking Services/Online Banking/
1,07312016,Online Banking Services/Online Bill Pay/
1,08012016,Investing and Retirement/Ways to Invest/Invest Online
1,08012016,Investing and Retirement/Ways to Invest/Invest in Mutual Funds
1,08012016,Investing and Retirement/Ways to Invest/Invest With Guidance 
1,08012016,Investing and Retirement/Ways to Invest/Invest With Guidance 
1,08012016,Investing and Retirement/Ways to Invest/Invest Online
1,08012016,Mortgage Loans/Personal Lines and Loans/Student Loans
1,08012016,Mortgage Loans/Home Loans and Lines/Home Equity Lines
1,08012016,Mortgage Loans/Personal Lines and Loans/Student Loans
1,08012016,Mortgage Loans/Personal Lines and Loans/Student Loans
1,08012016,Mortgage Loans/Your Financial Goals /Borrowing and Credit
1,08012016,Wealth Services/Wealth Advice  and Guidance/Wealth Management Insights
1,08012016,Wealth Services/The Private Bank/
1,08012016,Wealth Services/Wealth Management Services/
1,08012016,Wealth Services/Wealth Solutions/Wealth Planning
1,08012016,Wealth Services/Wealth Solutions/Investment Management
1,08012016,About Wells Fargo/More resources/Small Business Sitemap
1,08012016,About Wells Fargo/Still have questions?/Make an Appointment
1,08012016,About Wells Fargo/Working With Us/Careers at Wells Fargo
1,08012016,About Wells Fargo/News and Outreach /Newsroom
1,08012016,About Wells Fargo/Get to Know Our Company/Investor Relations
1,08022016,Insurance/Your Financial Goals/Planning for Retirement
1,08042016,Accounts and Services/Savings Accounts and CDs/Account link removed
1,08072016,Wealth Services/Wells Fargo Advisors /
1,08112016,About Wells Fargo/More resources/Customer Service
1,08122016,Insurance/Your Financial Goals/Protect What Counts
1,08132016,About Wells Fargo/More resources/Account Services
1,08162016,Online Banking Services/Online Bill Pay/
1,08212016,Online Banking Services/Transfers/
1,08212016,Online Banking Services/Transfers/
1,08212016,Online Banking Services/Online Statements/
1,08212016,Online Banking Services/Online Bill Pay/
1,08212016,Online Banking Services/Transfers/
1,08212016,Investing and Retirement/Ways to Invest/Compare Ways to Invest
1,08212016,Investing and Retirement/Ways to Invest/Invest in Mutual Funds
1,08212016,Investing and Retirement/Ways to Invest/Invest in Mutual Funds
1,08212016,Investing and Retirement/Ways to Invest/Invest Online
1,08212016,Investing and Retirement/Ways to Invest/Invest With Guidance 
1,08262016,Mortgage Loans/Personal Lines and Loans/Credit Cards
1,08272016,Mortgage Loans/Personal Lines and Loans/Student Loans
1,08272016,Mortgage Loans/Your Financial Goals /Home Lending
1,08272016,Mortgage Loans/Your Financial Goals /Borrowing and Credit
1,08272016,Accounts and Services/Savings Accounts and CDs/Account or Service Downloaded
1,08272016,Accounts and Services/Foreign Exchange/Account or service maintained
1,08272016,Accounts and Services/Global Remittance Services/Account or Service Opened
1,08282016,Accounts and Services/Foreign Exchange/Account link added
1,08282016,Accounts and Services/Checking Accounts/Account converted
1,08302016,Investing and Retirement/Ways to Invest/Invest in Mutual Funds
1,08302016,Investing and Retirement/Ways to Invest/Invest Online
1,08302016,Investing and Retirement/Ways to Invest/Invest With Guidance 
1,08302016,Investing and Retirement/Ways to Invest/Invest in Mutual Funds
1,08302016,Investing and Retirement/Ways to Invest/Invest in Mutual Funds
1,08302016,Accounts and Services/Credit Cards/Account or service maintained
1,08302016,Accounts and Services/Global Remittance Services/Account Service Feature Removed
1,08302016,Accounts and Services/Identity Theft Protection/Account or Service Opened
1,08302016,Accounts and Services/Foreign Exchange/Account address maintained
1,08302016,Accounts and Services/Checking Accounts/Account Service Feature Removed
1,08302016,Wealth Services/Wealth Solutions/Private Banking
1,08302016,Wealth Services/Wells Fargo Advisors /
1,08302016,Wealth Services/The Private Bank/
1,08302016,Wealth Services/Wealth Advice  and Guidance/Conversations Magazine
1,08302016,Wealth Services/Abbot Downing/
1,08302016,About Wells Fargo/More resources/Customer Service
1,08302016,About Wells Fargo/Working With Us/Become a Supplier
1,08302016,About Wells Fargo/How do I…/Get help with payment challenges
1,08302016,About Wells Fargo/News and Outreach /Newsroom
1,08302016,About Wells Fargo/Get to Know Our Company/History of Wells Fargo
